"SampleID","eventID"
"CE_01_BS","Ransome_IND01_CE01_110701_120601"
"CE_03_BS","Ransome_IND01_CE03_110701_120601"
"FFS_12_BS","Ransome_FFS12_FFS12A_100101_130101"
"GUA_2_BS","Ransome_GUA02_GUA02C_110101_140101"
"GUA_8A_BS","Ransome_GUA08_GUA08A_110101_140101"
"HAW_24A_BS","Ransome_HAW24_HAW24A_100101_130101"
"INDO_12_BS","Ransome_IND01_INDO12_120601_130707"
"INDO_15_BS","Ransome_HR01_INDO15_120601_130708"
"INDO_4_BS","Ransome_IND02_INDO04_110701_120601"
"INDO_5_BS","Ransome_IND02_INDO05_110701_120601"
"INDO_6_BS","Ransome_IND02_INDO06_110701_120601"
"INDO_7_BS","Ransome_Unknown_INDO07_110701_120601"
"KAU_8_BS","Ransome_KAU08_KAU08A_100101_130101"
"KUR_12_BS","Ransome_KUR12_KUR12A_100101_130101"
"LIS_10_BS","Ransome_LIS10_LIS10B_100101_130101"
"LIS_14_BS","Ransome_LIS14_LIS14B_100101_130101"
"MAU_4A_BS","Ransome_MAU04_MAU04A_110101_140101"
"PAG_9_BS","Ransome_PAG09_PAG09B_110101_140101"
"PHR_33C_BS","Ransome_PHR33_PHR33C_100101_130101"
"TIM_9_BS","Ransome_TIM09_TIM09A_121024_140924"
"WAK_6_BS","Ransome_WAK06_WAK06A_110101_140101"
"ART_1A_BS","Ransome_ART01_ART01A_120312_150524"
"ART_2A_BS","Ransome_ART02_ART02A_120312_150523"
"ART_2B_BS","Ransome_ART02_ART02B_120312_150523"
"BAA_1C_BS","Ransome_BAA01_BAA01C_120312_150530"
"BAO_1C_BS","Ransome_BAO01_BAO01C_120312_150521"
"BAO_2A_BS","Ransome_BAO02_BAO02A_120312_150526"
"BAO_2B_BS","Ransome_BAO02_BAO02B_120312_150526"
"OFU_3B_BS","Ransome_OFU03_OFU03B_120401_150201"
"ROS_19C_BS","Ransome_ROS19_ROS19C_120401_150201"
"ROS_25_BS","Ransome_ROS25_ROS25C_120401_150201"
"BAO_1A_BS","Ransome_BAO01_BAO01A_120312_150521"
"JAR_8_BS","Ransome_JAR08_JAR08C_120501_150301"
"KIN_13A_BS","Ransome_KIN13_KIN13A_120501_150301"
"KIN_13C_BS","Ransome_KIN13_KIN13C_120501_150301"
"KIN_5_BS","Ransome_KIN05_KIN05C_120501_150301"
"MOO_27_BS","Ransome_MOO03_MOO27_120201_140121"
"OLO_04_BS","Ransome_OLO04_OLO04C_120401_150201"
"PAL_01_BS","Ransome_PAL01_PAL01C_120501_150301"
"PAL_17_BS","Ransome_PAL17_PAL17C_120501_150301"
"ROS_4C_BS","Ransome_ROS04_ROS04C_120401_150201"
"TUT_01_BS","Ransome_TUT01_TUT01C_120401_150201"
"TUT_11A_BS","Ransome_TUT11_TUT11A_120401_150201"
"TUT_22_BS","Ransome_TUT22_TUT22C_120401_150201"
"TWI_2A_BS","Ransome_TWI02_TWI02A_120312_150522"
"BAA_2A_BS","Ransome_BAA02_BAA02A_120312_150526"
"BAA_2B_MESSY","Ransome_BAA02_BAA02B_120312_150531"
"JAR_11_BS","Ransome_JAR11_JAR11C_120501_150301"
"KIN_11_BS","Ransome_KIN11_KIN11C_120501_150301"
"MAU_4B_BS","Ransome_MAU04_MAU04B_110101_140101"
"OFU_3B2_BS","Ransome_OFU03_OFU03B_120401_150201"
"OFU_4_BS","Ransome_OFU04_OFU04C_120401_150201"
"SAI_8_BS","Ransome_SAI06_SAI06B_110101_140101"
"ART_1B_BS","Ransome_ART01_ART01B_120312_150524"
"ART_2C_BS","Ransome_ART02_ART02C_120312_150501"
"BAA_1A_BS","Ransome_BAA01_BAA01A_120312_150530"
"BAA_1B_BS","Ransome_BAA01_BAA01B_120312_150530"
"BAA_2B_BS","Ransome_BAA02_BAA02B_120312_150531"
"BAA_2C_BS","Ransome_BAA02_BAA02C_120312_150531"
"BAO_1B_BS","Ransome_BAO01_BAO01B_120312_150521"
"BAO_2C_BS","Ransome_BAO02_BAO02C_120312_150526"
"CE_02_BS","Ransome_IND01_CE02_110701_120601"
"HAW_22_BS","Ransome_HAW22_HAW22B_100101_130101"
"HAW_24B_BS","Ransome_HAW24_HAW24B_100101_130101"
"INDO_06_BS","Ransome_IND02_INDO06_110701_120601"
"KOA_2A_BS","Ransome_KOA02_KOA02A_120312_150523"
"OFU_3C_BS","Ransome_OFU03_OFU03C_120401_150201"
"PAL_19_BS","Ransome_PAL19_PAL19C_120501_150301"
"PHR_33A_BS","Ransome_PHR33_PHR33A_100101_130101"
"SAI_6_BS","Ransome_SAI06_SAI06B_110101_140101"
"TIM_1_BS","Ransome_TIM01_TIM01A_121015_141009"
"TIM_8_BS","Ransome_TIM08_TIM08A_121023_140925"
"TUT_11B_BS","Ransome_TUT11_TUT11B_120401_150201"
"TUT_11C_BS","Ransome_TUT11_TUT11C_120401_150201"
"TWI_1A_BS","Ransome_TWI01_TWI01A_120312_150520"
"TWI_1B_BS","Ransome_TWI01_TWI01B_120312_150520"
"TWI_1C_BS","Ransome_TWI01_TWI01C_120312_150520"
"TWI_2B_BS","Ransome_TWI02_TWI02B_120312_150522"
"TWI_2C_BS","Ransome_TWI02_TWI02C_120312_150522"
"FFS_34_BS","Ransome_FFS34_FFS34A_100101_130101"
"GUA_5_BS","Ransome_GUA05_GUA05B_110101_140101"
"GUA_8B_BS","Ransome_GUA08_GUA08B_110101_140101"
"GUA_8C_BS","Ransome_GUA08_GUA08C_110101_140101"
"HAW_24C_BS","Ransome_HAW24_HAW24C_100101_130101"
"INDO_13_BS","Ransome_IND01_INDO13_120601_130707"
"JAR_4C_BS","Ransome_JAR04_JAR04C_120501_150301"
"KAU_2_BS","Ransome_KAU02_KAU02A_100101_130101"
"KAU_6_BS","Ransome_KAU06_KAU06A_100101_130101"
"KIN_13B_BS","Ransome_KIN13_KIN13B_120501_150301"
"KOA_1A_BS","Ransome_KOA01_KOA01A_120312_150523"
"KUR_33_BS","Ransome_KUR33_KUR33A_100101_130101"
"MAI_1_BS","Ransome_MAI01_MAI01B_100101_130101"
"MAU_4C_BS","Ransome_MAU04_MAU04C_110101_140101"
"MAU_9A_BS","Ransome_MAU09_MAU09A_110101_140101"
"MOO_21_BS","Ransome_MOO01_MOO21_120201_140117"
"MOO_22_BS","Ransome_MOO02_MOO22_120201_140118"
"MOO_23_BS","Ransome_MOO02_MOO23_120201_140119"
"OAH_12_BS","Ransome_OAH12_OAH12B_100101_2013"
"PAG_1_BS","Ransome_PAG01_PAG01C_110101_140101"
"PAG_5_BS","Ransome_PAG05_PAG05C_110101_140101"
"PHR_26_BS","Ransome_PHR26_PHR26A_100101_130101"
"PHR_33B_BS","Ransome_PHR33_PHR33B_100101_130101"
"PHR_42_BS","Ransome_PHR42_PHR42A_100101_130101"
"SAI_5_BS","Ransome_SAI05_SAI05A_110101_140101"
"TIM_4_BS","Ransome_TIM04_TIM04A_121019_140928"
"WAK_8_BS","Ransome_WAK08_WAK08A_110101_140101"
